0,0,-0.126507,0.437811,0.0679191
0,1,-0.0627315,0.43733025000000003,0.067068825
0,2,0.0010439999999999894,0.4368495,0.06621855
0,3,0.06481949999999997,0.43636874999999997,0.065368275
0,4,0.128595,0.435888,0.064518
1,0,-0.12723025,0.373413,0.067788925
1,1,-0.0634453125,0.3728909375,0.06691815625
1,2,0.0003396249999999927,0.372368875,0.0660473875
1,3,0.0641245625,0.3718468125,0.06517661875
1,4,0.12790949999999998,0.37132475,0.06430585
2,0,-0.1279535,0.309015,0.06765874999999999
2,1,-0.064159125,0.308451625,0.0667674875
2,2,-0.00036475000000000396,0.30788825,0.06587622500000001
2,3,0.06342962499999999,0.307324875,0.06498496250000001
2,4,0.127224,0.3067615,0.0640937
3,0,-0.12867675,0.24461699999999997,0.067528575
3,1,-0.06487293749999999,0.2440123125,0.06661681875
3,2,-0.001069125000000004,0.243407625,0.06570506250000001
3,3,0.0627346875,0.24280293749999998,0.06479330625
3,4,0.1265385,0.24219825,0.06388155000000001
4,0,-0.1294,0.180219,0.0673984
4,1,-0.06558675,0.17957299999999998,0.06646615
4,2,-0.0017734999999999973,0.178927,0.0655339
4,3,0.06203975,0.178281,0.06460165000000001
4,4,0.125853,0.177635,0.0636694
0,0,-0.0957807,0.404882,0.0507482
0,1,-0.03292453333333334,0.40417666666666674,0.05107513333333334
0,2,0.029931633333333332,0.4034713333333334,0.05140206666666666
0,3,0.0927878,0.402766,0.051729
1,0,-0.09633746666666666,0.3403783333333334,0.05076746666666667
1,1,-0.032946266666666675,0.33980322222222237,0.05093732222222223
1,2,0.030444933333333334,0.3392281111111112,0.051107177777777776
1,3,0.09383613333333334,0.3386530000000001,0.05127703333333333
2,0,-0.09689423333333333,0.2758746666666667,0.050786733333333334
2,1,-0.032968000000000004,0.27542977777777783,0.05079951111111111
2,2,0.03095823333333333,0.27498488888888895,0.05081228888888888
2,3,0.09488446666666667,0.27454,0.05082506666666666
3,0,-0.097451,0.211371,0.050806
3,1,-0.03298973333333334,0.21105633333333335,0.0506617
3,2,0.03147153333333332,0.21074166666666666,0.05051739999999999
3,3,0.0959328,0.210427,0.0503731
